query,context,label,source,query_length
Critically assess the role of social media in shaping political polarization.,"Complex, analytical or critical reasoning required.",A,synthetic,77
Examine the philosophical implications of quantum mechanics on free will.,"Complex, analytical or critical reasoning required.",A,synthetic,73
Evaluate the effectiveness of international policies in reducing carbon emissions.,"Complex, analytical or critical reasoning required.",A,synthetic,82
Analyze the economic impacts of climate change on developing countries.,"Complex, analytical or critical reasoning required.",A,synthetic,71
Who wrote Hamlet?,Basic knowledge or simple fact question.,S,synthetic,17
"summarize article los angeles, california cnn -- court ordered pop singer britney spear give custody child effective wednesday noon. kevin federline britney spears, happier times, two children. spear former husband, kevin federline, retain custody two","Kevin Federline to take custody of children effective Wednesday noon .
Federline and Britney Spears have two children, ages 2 and 1 .
Pair were divorced in July .",M,CNN,324
Why do we see different phases of the moon?,Moderate explanation or descriptive answer required.,M,synthetic,43
"summarize article cnn -- canada house common voted thursday extend country military mission afghanistan 2011, stipulation nato send reinforcement volatile kandahar province. canadian soldier walk along track kandahar air base afghanistan last month.","Troops to stay until 2011, with the stipulation that NATO contribute more forces .
Most of Canada's 2,500 troops in Afghanistan are in Kandahar province .
The Canadian mission in Afghanistan was to end next February .
Critics say the cost has not been disclosed to Parliament or the public .",M,CNN,324
summarize article cnn -- u.s. army official history iraq war show military chief made mistake mistake early month conflict. iraqi watch statue saddam hussein toppled baghdad 2003. failure recognize chaos engulfing country send enough troop,"Army history of Iraq war's first two years says U.S. was unprepared for chaos .
U.S.-led coalition didn't have enough troops after Saddam Hussein's fall, report says .
""This is a recipe for disaster,"" one general recalls saying of one decision .",M,CNN,324
Discuss how artificial intelligence may reshape global employment in the next decade.,"Complex, analytical or critical reasoning required.",A,synthetic,85
Explain how photosynthesis works in plants.,Moderate explanation or descriptive answer required.,M,synthetic,43
Critically assess the role of social media in shaping political polarization.,"Complex, analytical or critical reasoning required.",A,synthetic,77
What is water made of?,Basic knowledge or simple fact question.,S,synthetic,22
kind platform song released,"On February 6, 2016, one day before her performance at the Super Bowl, Beyoncé released a new single exclusively on music streaming service Tidal called ""Formation"".",S,SQuAD,44
Analyze the economic impacts of climate change on developing countries.,"Complex, analytical or critical reasoning required.",A,synthetic,71
Critically assess the role of social media in shaping political polarization.,"Complex, analytical or critical reasoning required.",A,synthetic,77
"totaling worldwide, many record beyonce sold","Beyoncé has received numerous awards. As a solo artist she has sold over 15 million albums in the US, and over 118 million records worldwide (a further 60 million additionally with Destiny's Child), making her one of the best-selling music artists of all time. The Recording Industry Association of America (RIAA) listed Beyoncé as the top certified artist of the 2000s, with a total of 64 certifications. Her songs ""Crazy in Love"", ""Single Ladies (Put a Ring on It)"", ""Halo"", and ""Irreplaceable"" are",S,SQuAD,53
singer beyoncé portray cadillac record,"Beyoncé further expanded her acting career, starring as blues singer Etta James in the 2008 musical biopic, Cadillac Records. Her performance in the film received praise from critics, and she garnered several nominations for her portrayal of James, including a Satellite Award nomination for Best Supporting Actress, and a NAACP Image Award nomination for Outstanding Supporting Actress. Beyoncé donated her entire salary from the film to Phoenix House, an organization of rehabilitation centers for ",S,SQuAD,53
1932 german football championship final played stadium opened year,"['1959 German football championship Final', '2012 Connacht Senior Football Championship', '1904 German football championship Final']",A,HotpotQA,93
Discuss how artificial intelligence may reshape global employment in the next decade.,"Complex, analytical or critical reasoning required.",A,synthetic,85
Examine the philosophical implications of quantum mechanics on free will.,"Complex, analytical or critical reasoning required.",A,synthetic,73
What is 5*6?,Basic knowledge or simple fact question.,S,synthetic,12
How does the water cycle contribute to life on Earth?,Moderate explanation or descriptive answer required.,M,synthetic,53
"summarize article real simple -- soaring gas price travel costs, cheapest route whisk away summer good book. ten top-selling author share favorite lazy-summer-day reads. • one-day read . augusten burroughs member wedding, carson mccullers slende","Jackie Collins recommends ""Whacked,"" by Jules Asner, a tale of revenge set in L.A.
James Patterson picks the thriller ""No Country for Old Men,"" by Cormac McCarthy .
For a long weekend, Danielle Steele likes Joel Osteen's ""Become a Better You""
Sophie Kinsella: ""[Jane] Austen is a perennial delight""",M,CNN,324
prime minister india v. k. krishna menon regarded second powerful man india born,"['V. K. Krishna Menon', 'Jawaharlal Nehru', 'Cheril Krishna Menon']",A,HotpotQA,131
What is the capital of Egypt?,Basic knowledge or simple fact question.,S,synthetic,29
What is the capital of Egypt?,Basic knowledge or simple fact question.,S,synthetic,29
What is 2+2?,Basic knowledge or simple fact question.,S,synthetic,12
Explain how photosynthesis works in plants.,Moderate explanation or descriptive answer required.,M,synthetic,43
centralia massacre committed pro-confederate guerrilla leader,"['Nancy Hart Douglas', 'Fred Moore (attorney)', 'Centralia massacre (Washington)']",A,HotpotQA,79
south korean sitcom starred south korean singer actress began music career age 15,"['The Sound of Your Heart (TV series)', 'Lina (South Korean singer)', 'Unstoppable Marriage (TV series)']",A,HotpotQA,111
"conference university coach born september 9th, 1960","['2016 Oklahoma Sooners football team', 'Randy Rahe', 'Gary Ward (baseball coach)']",A,HotpotQA,82
name main library notre dame,"The library system of the university is divided between the main library and each of the colleges and schools. The main building is the 14-story Theodore M. Hesburgh Library, completed in 1963, which is the third building to house the main collection of books. The front of the library is adorned with the Word of Life mural designed by artist Millard Sheets. This mural is popularly known as ""Touchdown Jesus"" because of its proximity to Notre Dame Stadium and Jesus' arms appearing to make the sign",S,SQuAD,51
Explain how seasons change with Earth's tilt.,Moderate explanation or descriptive answer required.,M,synthetic,45
Explain how photosynthesis works in plants.,Moderate explanation or descriptive answer required.,M,synthetic,43
name current member american heavy metal band wrote music hurt locker musical,"['Joey Vera', 'Hurt Locker (musical)', 'Obús']",A,HotpotQA,122
Explain how seasons change with Earth's tilt.,Moderate explanation or descriptive answer required.,M,synthetic,45
company beyoncé get together 2005 add shoe fashion,"In 2005, Beyoncé teamed up with House of Brands, a shoe company, to produce a range of footwear for House of Deréon. In January 2008, Starwave Mobile launched Beyoncé Fashion Diva, a ""high-style"" mobile game with a social networking component, featuring the House of Deréon collection. In July 2009, Beyoncé and her mother launched a new junior apparel label, Sasha Fierce for Deréon, for back-to-school selling. The collection included sportswear, outerwear, handbags, footwear, eyewear, lingerie an",S,SQuAD,80
How does gravity affect objects differently on Earth and the Moon?,Moderate explanation or descriptive answer required.,M,synthetic,66
professorship father josh carrier hold notre dame,"Father Joseph Carrier, C.S.C. was Director of the Science Museum and the Library and Professor of Chemistry and Physics until 1874. Carrier taught that scientific research and its promise for progress were not antagonistic to the ideals of intellectual and moral culture endorsed by the Church. One of Carrier's students was Father John Augustine Zahm (1851–1921) who was made Professor and Co-Director of the Science Department at age 23 and by 1900 was a nationally prominent scientist and naturali",S,SQuAD,62
Evaluate the effectiveness of international policies in reducing carbon emissions.,"Complex, analytical or critical reasoning required.",A,synthetic,82
Discuss how artificial intelligence may reshape global employment in the next decade.,"Complex, analytical or critical reasoning required.",A,synthetic,85
"addition bayou legend, many work william grant still compose","['Mississippi Opera', 'Still Waters Youth Sinfo-Nia', 'William Grant &amp; Sons']",A,HotpotQA,84
"american pre-code comedy film featuring american actress, dancer, singer, widely known performing film rko musical films, released year","['International House (1933 film)', 'Ginger Rogers', 'Hat Check Girl']",A,HotpotQA,173
"summarize article islamabad, pakistan cnn -- pakistan foreign ministry wednesday rejected concern raised u.n. nuclear watchdog chief country nuclear weapon could fall hand extremist group pakistan afghanistan. mohamed elbaradei, u.n. nuclear watchdog chief. fear","Pakistan rejects fears its nuclear weapons could fall into the hands of extremists .
Mohamed ElBaradei, U.N. nuclear watchdog chief, voiced his worries Tuesday .
ElBaradei: I fear chaos in this state, which has 30 or 40 nuclear weapons .
Pakistan: Our nuclear weapons as secure as those held by other nuclear states .",M,CNN,324
north american auto racing series launched sport car club america jack baldwin drive porsche cayman,"['SCCA National Sports Car Championship', 'Salazar Racing', '1976 SCCA/USAC Formula 5000 Championship']",A,HotpotQA,130
scott speedman michael corvin related,"['The Captive (2014 film)', 'Dumb Drum Records', 'The Strangers (2008 film)']",A,HotpotQA,49
Explain how seasons change with Earth's tilt.,Moderate explanation or descriptive answer required.,M,synthetic,45
Explain how seasons change with Earth's tilt.,Moderate explanation or descriptive answer required.,M,synthetic,45
mindless self indulgence tappi tíkarrass,"['How I Learned to Stop Giving a Shit and Love Mindless Self Indulgence', 'Alienating Our Audience', 'On It']",A,HotpotQA,59
How does the water cycle contribute to life on Earth?,Moderate explanation or descriptive answer required.,M,synthetic,53
year main building notre dame razed fire,"This Main Building, and the library collection, was entirely destroyed by a fire in April 1879, and the school closed immediately and students were sent home. The university founder, Fr. Sorin and the president at the time, the Rev. William Corby, immediately planned for the rebuilding of the structure that had housed virtually the entire University. Construction was started on the 17th of May and by the incredible zeal of administrator and workers the building was completed before the fall seme",S,SQuAD,65
What are the main causes of World War I?,Moderate explanation or descriptive answer required.,M,synthetic,40
What are the main causes of World War I?,Moderate explanation or descriptive answer required.,M,synthetic,40
song jay z talked pregnancy struggle,"On January 7, 2012, Beyoncé gave birth to a daughter, Blue Ivy Carter, at Lenox Hill Hospital in New York under heavy security. Two days later, Jay Z released ""Glory"", a song dedicated to their child, on his website Lifeandtimes.com. The song detailed the couple's pregnancy struggles, including a miscarriage Beyoncé suffered before becoming pregnant with Blue Ivy. Blue Ivy's cries are included at the end of the song, and she was officially credited as ""B.I.C."" on it. At two days old, she became ",S,SQuAD,57
What is 2+2?,Basic knowledge or simple fact question.,S,synthetic,12
"birthdate former nasa astronaut retired captain united state navy, published book lost moon perilous voyage apollo 13","['Lunar plaque', 'Apollo 13 (film)', 'Fred Haise']",A,HotpotQA,168
"summarize article cnn -- dying, 2-year-old riley ann sawyer beaten belts, picked hair, thrown across room held water, according affidavit galveston county sheriff office. police believe 2-year-old riley ann sawyer baby grace. affidavit say gir","Police affidavit quotes mother's statement about beating that killed girl .
Mother's husband threw Riley Ann Sawyers across room, affidavit says .
Husband later attempted suicide, mother told police .
Riley Ann's mother and her husband arrested after a tip led to search .",M,CNN,324
single success album,"Her fourth studio album 4 was released on June 28, 2011 in the US. 4 sold 310,000 copies in its first week and debuted atop the Billboard 200 chart, giving Beyoncé her fourth consecutive number-one album in the US. The album was preceded by two of its singles ""Run the World (Girls)"" and ""Best Thing I Never Had"", which both attained moderate success. The fourth single ""Love on Top"" was a commercial success in the US. 4 also produced four other singles; ""Party"", ""Countdown"", ""I Care"" and ""End of T",S,SQuAD,50
"third album, survivor, sold many first week","The remaining band members recorded ""Independent Women Part I"", which appeared on the soundtrack to the 2000 film, Charlie's Angels. It became their best-charting single, topping the U.S. Billboard Hot 100 chart for eleven consecutive weeks. In early 2001, while Destiny's Child was completing their third album, Beyoncé landed a major role in the MTV made-for-television film, Carmen: A Hip Hopera, starring alongside American actor Mekhi Phifer. Set in Philadelphia, the film is a modern interpreta",S,SQuAD,65
"musician born first, john tardy tom barman","['0110', 'Zanna', 'Any Way the Wind Blows (film)']",A,HotpotQA,56
"pantanal mid-size pickup truck made brazilian off-road vehicle manufacturer troller veículos especiais a, manufacturer off-road vehicle country, 2006 2008","['RAM Rebel truck', 'Troller T4', 'Troller Pantanal']",A,HotpotQA,196
How does gravity affect objects differently on Earth and the Moon?,Moderate explanation or descriptive answer required.,M,synthetic,66
publication published often modern drummer bookmark,"['Tomas Haake', 'Tomato (musician)', 'Nathan Bauman']",A,HotpotQA,71
Evaluate the effectiveness of international policies in reducing carbon emissions.,"Complex, analytical or critical reasoning required.",A,synthetic,82
highest beyonce first solo recording achieved billboard hot 100,"Beyoncé's first solo recording was a feature on Jay Z's ""'03 Bonnie & Clyde"" that was released in October 2002, peaking at number four on the U.S. Billboard Hot 100 chart. Her first solo album Dangerously in Love was released on June 24, 2003, after Michelle Williams and Kelly Rowland had released their solo efforts. The album sold 317,000 copies in its first week, debuted atop the Billboard 200, and has since sold 11 million copies worldwide. The album's lead single, ""Crazy in Love"", featuring ",S,SQuAD,86
What are the main causes of World War I?,Moderate explanation or descriptive answer required.,M,synthetic,40
Explain how seasons change with Earth's tilt.,Moderate explanation or descriptive answer required.,M,synthetic,45
What are the main causes of World War I?,Moderate explanation or descriptive answer required.,M,synthetic,40
What is the capital of Egypt?,Basic knowledge or simple fact question.,S,synthetic,29
"documentary released earlier, almost sunrise 51 birch street","['Isanti County Courthouse', 'William Thomas Abington House', 'Galbraith Mountain']",A,HotpotQA,74
What is the opposite of hot?,Basic knowledge or simple fact question.,S,synthetic,28
"summarize article cnn -- girl shown videotape sexually assaulted la vega found safe, official nye county, nevada, said friday. chester arthur stiles, 37, sought suspect, police say. found child, madison. safe. detective say","Stiles described as ""survivalist type"" who carries a weapon .
Mother has cooperated with police, sheriff says .
Girl on tape, now 7, found safe with family .
Tape shows man sexually abusing the girl 4 years ago .",M,CNN,324
name game put starwave mobile 2008 featured beyoncé fashion,"In 2005, Beyoncé teamed up with House of Brands, a shoe company, to produce a range of footwear for House of Deréon. In January 2008, Starwave Mobile launched Beyoncé Fashion Diva, a ""high-style"" mobile game with a social networking component, featuring the House of Deréon collection. In July 2009, Beyoncé and her mother launched a new junior apparel label, Sasha Fierce for Deréon, for back-to-school selling. The collection included sportswear, outerwear, handbags, footwear, eyewear, lingerie an",S,SQuAD,96
"summarize article cnn -- president sudan chad signed non-aggression agreement late thursday, aiming halt cross-border hostility two african nations. chad president idriss deby, right, sudan president omar al-beshir, left, shake hand signing pact. signing came afte","Sudan, Chad presidents sign agreement aiming to halt cross-border hostilities .
Signing came after nearly two days of talks between presidents of Sudan and Chad .
Each accuses other of supporting rebels that attempt to destabilize the government .
Just hours before agreement, Chad claimed rebels from Sudan had crossed border .",M,CNN,324
What are the main causes of World War I?,Moderate explanation or descriptive answer required.,M,synthetic,40
french composer wrote original opera carmen 19th century,"The remaining band members recorded ""Independent Women Part I"", which appeared on the soundtrack to the 2000 film, Charlie's Angels. It became their best-charting single, topping the U.S. Billboard Hot 100 chart for eleven consecutive weeks. In early 2001, while Destiny's Child was completing their third album, Beyoncé landed a major role in the MTV made-for-television film, Carmen: A Hip Hopera, starring alongside American actor Mekhi Phifer. Set in Philadelphia, the film is a modern interpreta",S,SQuAD,77
What is 2+2?,Basic knowledge or simple fact question.,S,synthetic,12
mother prince allegation made related lawsuit two jane v u,"['2009 cash for influence scandal', 'Counterpoint (radio)', 'Deniz Feneri Trials']",A,HotpotQA,114
new division topshop partnership,"In October 2014, it was announced that Beyoncé with her management company Parkwood Entertainment would be partnering with London-based fashion retailer Topshop, in a new 50/50 split subsidiary business named Parkwood Topshop Athletic Ltd. The new division was created for Topshop to break into the activewear market, with an athletic, street wear brand being produced. ""Creating a partnership with Beyoncé, one of the most hard-working and talented people in the world, who spends many hours of her ",S,SQuAD,64
"summarize article chicago, illinois cnn -- illinois man charged possession potentially deadly neurotoxin commonly found puffer fish fbi led raid home monday. edward f. bachner, 35, lake hills, charged one count illegal possession toxin, according","FBI: Edward Bachner tried to buy 98 milligrams of tetrodotoxin through the Web .
Neurotoxin, commonly found in puffer fish species, can cause paralysis and death .
Bachner was arrested after accepting a small amount from an undercover official .
If convicted, the 35-year-old faces 10 years in prison .",M,CNN,324
Why do we see different phases of the moon?,Moderate explanation or descriptive answer required.,M,synthetic,43
How many days in a week?,Basic knowledge or simple fact question.,S,synthetic,24
song beyoncé release lead single fighting tempations,"In July 2002, Beyoncé continued her acting career playing Foxxy Cleopatra alongside Mike Myers in the comedy film, Austin Powers in Goldmember, which spent its first weekend atop the US box office and grossed $73 million. Beyoncé released ""Work It Out"" as the lead single from its soundtrack album which entered the top ten in the UK, Norway, and Belgium. In 2003, Beyoncé starred opposite Cuba Gooding, Jr., in the musical comedy The Fighting Temptations as Lilly, a single mother whom Gooding's cha",S,SQuAD,78
Why do we see different phases of the moon?,Moderate explanation or descriptive answer required.,M,synthetic,43
beyonce received many nomination 52nd annual grammy award,"At the 52nd Annual Grammy Awards, Beyoncé received ten nominations, including Album of the Year for I Am... Sasha Fierce, Record of the Year for ""Halo"", and Song of the Year for ""Single Ladies (Put a Ring on It)"", among others. She tied with Lauryn Hill for most Grammy nominations in a single year by a female artist. In 2010, Beyoncé was featured on Lady Gaga's single ""Telephone"" and its music video. The song topped the US Pop Songs chart, becoming the sixth number-one for both Beyoncé and Gaga,",S,SQuAD,71
"summarize article baghdad, iraq cnn -- vehicle banned largely shiite city amara wednesday three car bomb ripped market district, killing least 27 people wounded 151, official said. iraqi gather site car bomb city amara wednesday. blast de","NEW: All vehicles banned in city of Amara through Thursday, provincial governor says .
Death toll continues to rise as Interior Ministry reports 151 wounded .
State television reports that many of the casualties are women, children .
Amara has been scene of fighting between rival Shiite factions vying for power .",M,CNN,324
"produced jay joyce, celabraison debut album band","['Come a Little Closer (Cage the Elephant song)', 'Thank You, Happy Birthday', 'Melophobia']",A,HotpotQA,69
What is the opposite of hot?,Basic knowledge or simple fact question.,S,synthetic,28
How does gravity affect objects differently on Earth and the Moon?,Moderate explanation or descriptive answer required.,M,synthetic,66
beyonce become pregnant,"Beyoncé is believed to have first started a relationship with Jay Z after a collaboration on ""'03 Bonnie & Clyde"", which appeared on his seventh album The Blueprint 2: The Gift & The Curse (2002). Beyoncé appeared as Jay Z's girlfriend in the music video for the song, which would further fuel speculation of their relationship. On April 4, 2008, Beyoncé and Jay Z were married without publicity. As of April 2014, the couple have sold a combined 300 million records together. The couple are known fo",S,SQuAD,34
Evaluate the effectiveness of international policies in reducing carbon emissions.,"Complex, analytical or critical reasoning required.",A,synthetic,82
Examine the philosophical implications of quantum mechanics on free will.,"Complex, analytical or critical reasoning required.",A,synthetic,73
jury member deutschland sucht den superstar american model choreographer born 1957,"['Deutschland sucht den Superstar (season 11)', 'Deutschland sucht den Superstar (season 9)', 'Bruce Darnell']",A,HotpotQA,107
Discuss how artificial intelligence may reshape global employment in the next decade.,"Complex, analytical or critical reasoning required.",A,synthetic,85
How does the water cycle contribute to life on Earth?,Moderate explanation or descriptive answer required.,M,synthetic,53
Analyze the economic impacts of climate change on developing countries.,"Complex, analytical or critical reasoning required.",A,synthetic,71
french name bay big salon river flow,"['Bradano', 'Big Salmon River (New Brunswick)', 'Cheakamus River']",A,HotpotQA,72
What is 5*6?,Basic knowledge or simple fact question.,S,synthetic,12
man single titled pa played character film high noon,"['WizzyPro', 'Sheb Wooley', ""That's My Pa""]",A,HotpotQA,94
corydalis cedrus level classification naming system,"['XaAES', 'Naming customs of Taiwanese aborigines', 'Autonomous prefectures of China']",A,HotpotQA,80
Evaluate the effectiveness of international policies in reducing carbon emissions.,"Complex, analytical or critical reasoning required.",A,synthetic,82
"summarize article cnn -- bangladesh police detained arrested 18,000 people last 11 day crackdown crime say aimed improving security ahead december elections. people arrested bangladesh police latest round-up arrive jail dhaka. human right group","Bangladesh police have detained or arrested 18,000 people in 11 days .
Human rights groups decry the actions as politically motivated .
Round-ups began after parties refused to cooperate with military government .",M,CNN,324
Analyze the economic impacts of climate change on developing countries.,"Complex, analytical or critical reasoning required.",A,synthetic,71
What are the main causes of World War I?,Moderate explanation or descriptive answer required.,M,synthetic,40
Critically assess the role of social media in shaping political polarization.,"Complex, analytical or critical reasoning required.",A,synthetic,77
How does the water cycle contribute to life on Earth?,Moderate explanation or descriptive answer required.,M,synthetic,53
"summarize article cnn -- german zookeepers nuremberg bottle-feed four-week-old polar bear rear away mother concern mother would eat cub, official said thursday. zookeepers fear unnamed polar bear cub could risk eaten. cub, yet nam","Four-week-old polar bear separated from mother amid fears she would eat it .
Nuremberg City Zoo's other polar bear ate its own two offspring earlier this week .
Mother was showing signs of being upset and confused, zookeepers said .",M,CNN,324
What is the largest planet?,Basic knowledge or simple fact question.,S,synthetic,27
"summarize article los angeles, california cnn -- no charge brought 10-year-old boy accused accidentally starting october wildfire scorched 38,000 acre north los angeles, california, prosecutor announced tuesday. firefighter battle buckweed fire october 22, 2007.","There is no evidence that the boy intended to set the fire, prosecutors say .
He had faced possible charges in juvenile court after admitting to setting blaze .
The boy was playing with matches; the blaze destroyed 21 homes .
The Buckweed fire started October 21 north of Los Angeles .",M,CNN,324
What is 5*6?,Basic knowledge or simple fact question.,S,synthetic,12
"summarize article cnn -- venezuelan president hugo chavez said wednesday cutting tie colombia long alvaro uribe remains president. colombian president alvaro uribe withdrew support venezuelan leader mediation effort farc. say world, president uri","Chavez says Uribe had asked him to help secure the release of hostages .
Uribe cited Chavez's direct communication with Uribe's top general as breach .
Chavez accuses Uribe of lying .
Chavez says his arms are open to the Colombian people .",M,CNN,324
2017 indian crime action film includes song zaalima written amitabh bhattacharya,"['Agneepath (2012 film)', 'Yeidhavan', 'Raees (film)']",A,HotpotQA,94
Explain how photosynthesis works in plants.,Moderate explanation or descriptive answer required.,M,synthetic,43
Critically assess the role of social media in shaping political polarization.,"Complex, analytical or critical reasoning required.",A,synthetic,77
Analyze the economic impacts of climate change on developing countries.,"Complex, analytical or critical reasoning required.",A,synthetic,71
What is the opposite of hot?,Basic knowledge or simple fact question.,S,synthetic,28
"genus name derives greek words, micromeria pamianthe","['Philodendron', 'Tragacanth', 'Micromeria']",A,HotpotQA,73
Critically assess the role of social media in shaping political polarization.,"Complex, analytical or critical reasoning required.",A,synthetic,77
"terenzo city province parma, region italy terenzo located","['Stadio Ennio Tardini', 'Taro (river)', 'Trolleybuses in Parma']",A,HotpotQA,88
Discuss how artificial intelligence may reshape global employment in the next decade.,"Complex, analytical or critical reasoning required.",A,synthetic,85
Explain how photosynthesis works in plants.,Moderate explanation or descriptive answer required.,M,synthetic,43
many mile average student notre dame travel study,"Notre Dame is known for its competitive admissions, with the incoming class enrolling in fall 2015 admitting 3,577 from a pool of 18,156 (19.7%). The academic profile of the enrolled class continues to rate among the top 10 to 15 in the nation for national research universities. The university practices a non-restrictive early action policy that allows admitted students to consider admission to Notre Dame as well as any other colleges to which they were accepted. 1,400 of the 3,577 (39.1%) were ",S,SQuAD,76
"summarize article cnn -- united state belief member pakistan spy service provided support deadly bombing last month india embassy afghanistan, u.s. counterterrorism official told cnn friday. indian embassy kabul badly damaged july 7 bombing. pakistan strong","U.S. intelligence points to Pakistan agents involved in attack on Indian Embassy .
Pakistan denies its spy agency helped plan bombing that killed 58 .
Maj. Gen. Athar Abbas said the report was an ""effort to malign the ISI""
India and Afghanistan both accuse Pakistan of role in the attack .",M,CNN,324
"moment moment movie starred actress, comedian, producer","['Debra Feuer', 'Sa Sandaling Kailangan Mo Ako', 'Kshana Kshanam']",A,HotpotQA,87
What is the largest planet?,Basic knowledge or simple fact question.,S,synthetic,27
What is the largest planet?,Basic knowledge or simple fact question.,S,synthetic,27
caused many intellectual catholic leave europe 1930s,"The rise of Hitler and other dictators in the 1930s forced numerous Catholic intellectuals to flee Europe; president John O'Hara brought many to Notre Dame. From Germany came Anton-Hermann Chroust (1907–1982) in classics and law, and Waldemar Gurian a German Catholic intellectual of Jewish descent. Positivism dominated American intellectual life in the 1920s onward but in marked contrast, Gurian received a German Catholic education and wrote his doctoral dissertation under Max Scheler. Ivan Mešt",S,SQuAD,69
describe jean- michel basquiat,"Beyoncé has stated that she is personally inspired by US First Lady Michelle Obama, saying ""She proves you can do it all"" and she has described Oprah Winfrey as ""the definition of inspiration and a strong woman"". She has also discussed how Jay Z is a continuing inspiration to her, both with what she describes as his lyrical genius and in the obstacles he has overcome in his life. Beyoncé has expressed admiration for the artist Jean-Michel Basquiat, posting in a letter ""what I find in the work of",S,SQuAD,44
type school parker elementary school,"Beyoncé attended St. Mary's Elementary School in Fredericksburg, Texas, where she enrolled in dance classes. Her singing talent was discovered when dance instructor Darlette Johnson began humming a song and she finished it, able to hit the high-pitched notes. Beyoncé's interest in music and performing continued after winning a school talent show at age seven, singing John Lennon's ""Imagine"" to beat 15/16-year-olds. In fall of 1990, Beyoncé enrolled in Parker Elementary School, a music magnet sch",S,SQuAD,49
calochone adlumia plant,"['Adlumia', 'Calochone']",A,HotpotQA,38
"summarize article washington cnn -- u.s. first lady laura bush -- rare foray foreign policy -- called myanmar military junta step aside, give terror campaign people allow democratic myanmar commentary published wednesday wall street journal. u.s. first l","Laura Bush calls on Myanmar junta to ""step aside,"" allow for a democracy .
Military leaders must give up the ""terror campaigns"" against its people, she says .
Junta should release Aun Sung Suu Kyi and other opposition leaders, she says .
Her rare foray into foreign policy was published in the Wall Street Journal .",M,CNN,324
How does the water cycle contribute to life on Earth?,Moderate explanation or descriptive answer required.,M,synthetic,53
"summarize article washington cnn -- cia asked justice department investigate whether former operative john kiriakou illegally disclosed classified information talked waterboarding terrorism suspect, government official say. ex-cia agent john kiriakou say underwent waterboardin","Justice Department must decide whether to pursue investigation .
Former agent John Kiriakou talked about interrogation technique on TV .
Kiriakou attorney says probe could cause CIA more problems .
Administration summoned for court hearing on destroyed tapes .",M,CNN,324
How does the water cycle contribute to life on Earth?,Moderate explanation or descriptive answer required.,M,synthetic,53
How many days in a week?,Basic knowledge or simple fact question.,S,synthetic,24
Why do we see different phases of the moon?,Moderate explanation or descriptive answer required.,M,synthetic,43
beyonce take hiatus career take control management,"Following the disbandment of Destiny's Child in June 2005, she released her second solo album, B'Day (2006), which contained hits ""Déjà Vu"", ""Irreplaceable"", and ""Beautiful Liar"". Beyoncé also ventured into acting, with a Golden Globe-nominated performance in Dreamgirls (2006), and starring roles in The Pink Panther (2006) and Obsessed (2009). Her marriage to rapper Jay Z and portrayal of Etta James in Cadillac Records (2008) influenced her third album, I Am... Sasha Fierce (2008), which saw the",S,SQuAD,80
language beyoncé release several song,"Beyoncé's music is generally R&B, but she also incorporates pop, soul and funk into her songs. 4 demonstrated Beyoncé's exploration of 90s-style R&B, as well as further use of soul and hip hop than compared to previous releases. While she almost exclusively releases English songs, Beyoncé recorded several Spanish songs for Irreemplazable (re-recordings of songs from B'Day for a Spanish-language audience), and the re-release of B'Day. To record these, Beyoncé was coached phonetically by American ",S,SQuAD,51
"voiced cartoon character animated television series , pablo aurrecochea wear kit adorned cartoon character","['The Itchy &amp; Scratchy Show', 'Pablo Aurrecochea', 'Donald Duck']",A,HotpotQA,140
"summarize article cnn -- lonely planet author say plagiarized made portion popular travel guidebook dealt drug supplement poor pay, australian newspaper reported sunday. lonely planet publishes 500 title employ 300 authors, according web site. thomas kohnstamm,","Author tells paper he got data for Colombia guidebook ""from a chick I was dating""
Author's works include guides on Brazil, Venezuela, Chile, paper reports .
Lonely Planet tells paper it wants to ensure ""this type of thing never happens again""
""Urgent"" review of author's books reveals no inaccuracies, publisher tells paper .",M,CNN,324
event occured publicly criticized,"LeToya Luckett and Roberson became unhappy with Mathew's managing of the band and eventually were replaced by Farrah Franklin and Michelle Williams. Beyoncé experienced depression following the split with Luckett and Roberson after being publicly blamed by the media, critics, and blogs for its cause. Her long-standing boyfriend left her at this time. The depression was so severe it lasted for a couple of years, during which she occasionally kept herself in her bedroom for days and refused to eat",S,SQuAD,53
title added track love song,"In January 2013, Destiny's Child released Love Songs, a compilation album of the romance-themed songs from their previous albums and a newly recorded track, ""Nuclear"". Beyoncé performed the American national anthem singing along with a pre-recorded track at President Obama's second inauguration in Washington, D.C. The following month, Beyoncé performed at the Super Bowl XLVII halftime show, held at the Mercedes-Benz Superdome in New Orleans. The performance stands as the second most tweeted abou",S,SQuAD,52
Who wrote Hamlet?,Basic knowledge or simple fact question.,S,synthetic,17
year college art letter notre dame grant first degree,"The College of Arts and Letters was established as the university's first college in 1842 with the first degrees given in 1849. The university's first academic curriculum was modeled after the Jesuit Ratio Studiorum from Saint Louis University. Today the college, housed in O'Shaughnessy Hall, includes 20 departments in the areas of fine arts, humanities, and social sciences, and awards Bachelor of Arts (B.A.) degrees in 33 majors, making it the largest of the university's colleges. There are aro",S,SQuAD,86
